id;infinitive;time;mood;person;quantity;conjugation
376;saber;imperfet;indicatiu;2;singular;sabies
377;saber;imperfet;indicatiu;3;singular;sabia
378;saber;imperfet;indicatiu;1;plural;sabíem
379;saber;imperfet;indicatiu;2;plural;sabíeu
380;saber;imperfet;indicatiu;3;plural;sabien
381;saber;imperfet;subjuntiu;1;singular;sabés
382;saber;imperfet;subjuntiu;2;singular;sabessis
383;saber;imperfet;subjuntiu;3;singular;sabés
384;saber;imperfet;subjuntiu;1;plural;sabéssim
385;saber;imperfet;subjuntiu;2;plural;sabéssiu
386;saber;imperfet;subjuntiu;3;plural;sabessin
387;saber;futur;indicatiu;1;singular;sabré
388;saber;futur;indicatiu;2;singular;sabràs
389;saber;futur;indicatiu;3;singular;sabrà
390;saber;futur;indicatiu;1;plural;sabrem
391;saber;futur;indicatiu;2;plural;sabreu
392;saber;futur;indicatiu;3;plural;sabran
393;saber;condicional;indicatiu;1;singular;sabria
394;saber;condicional;indicatiu;2;singular;sabries
395;saber;condicional;indicatiu;3;singular;sabria
396;saber;condicional;indicatiu;1;plural;sabríem
397;saber;condicional;indicatiu;2;plural;sabríeu
398;saber;condicional;indicatiu;3;plural;sabrien
399;saber;participi;;;;sabut
400;saber;gerundi;;;;sabent
401;veure;present;indicatiu;1;singular;veig
402;veure;present;indicatiu;2;singular;veus
403;veure;present;indicatiu;3;singular;veu
404;veure;present;indicatiu;1;plural;veiem
405;veure;present;indicatiu;2;plural;veieu
406;veure;present;indicatiu;3;plural;veuen
407;veure;present;subjuntiu;1;singular;vegi
408;veure;present;subjuntiu;2;singular;vegis
409;veure;present;subjuntiu;3;singular;vegi
410;veure;present;subjuntiu;1;plural;vegem
411;veure;present;subjuntiu;2;plural;vegeu
412;veure;present;subjuntiu;3;plural;vegin
413;veure;present;imperatiu;2;singular;ves
414;veure;present;imperatiu;2;plural;veieu
415;veure;imperfet;indicatiu;1;singular;veia
416;veure;imperfet;indicatiu;2;singular;veies
417;veure;imperfet;indicatiu;3;singular;veia
418;veure;imperfet;indicatiu;1;plural;vèiem
419;veure;imperfet;indicatiu;2;plural;vèieu
420;veure;imperfet;indicatiu;3;plural;veien
421;veure;imperfet;subjuntiu;1;singular;veiés
422;veure;imperfet;subjuntiu;2;singular;veiessis
423;veure;imperfet;subjuntiu;3;singular;veiés
424;veure;imperfet;subjuntiu;1;plural;veiéssim
425;veure;imperfet;subjuntiu;2;plural;veiéssiu
426;veure;imperfet;subjuntiu;3;plural;veiessin
427;veure;futur;indicatiu;1;singular;veuré
428;veure;futur;indicatiu;2;singular;veuràs
429;veure;futur;indicatiu;3;singular;veurà
430;veure;futur;indicatiu;1;plural;veurem
431;veure;futur;indicatiu;2;plural;veureu
432;veure;futur;indicatiu;3;plural;veuran
433;veure;condicional;indicatiu;1;singular;veuria
434;veure;condicional;indicatiu;2;singular;veuries
435;veure;condicional;indicatiu;3;singular;veuria
436;veure;condicional;indicatiu;1;plural;veuríem
437;veure;condicional;indicatiu;2;plural;veuríeu
438;veure;condicional;indicatiu;3;plural;veurien
439;veure;participi;;;;vist
440;veure;gerundi;;;;veient
441;viure;present;indicatiu;1;singular;visc
442;viure;present;indicatiu;2;singular;vius
443;viure;present;indicatiu;3;singular;viu
444;viure;present;indicatiu;1;plural;vivim
445;viure;present;indicatiu;2;plural;viviu
446;viure;present;indicatiu;3;plural;viuen
447;viure;present;subjuntiu;1;singular;visqui
448;viure;present;subjuntiu;2;singular;viquis
449;viure;present;subjuntiu;3;singular;visqui
450;viure;present;subjuntiu;1;plural;visquem
451;viure;present;subjuntiu;2;plural;visqueu
452;viure;present;subjuntiu;3;plural;visquin
453;viure;present;imperatiu;2;singular;viu
454;viure;present;imperatiu;2;plural;viviu
455;viure;imperfet;indicatiu;1;singular;vivia
456;viure;imperfet;indicatiu;2;singular;vivies
457;viure;imperfet;indicatiu;3;singular;vivia
458;viure;imperfet;indicatiu;1;plural;vivíem
459;viure;imperfet;indicatiu;2;plural;vivíeu
460;viure;imperfet;indicatiu;3;plural;vivien
461;viure;imperfet;subjuntiu;1;singular;visqués
462;viure;imperfet;subjuntiu;2;singular;visquessis
463;viure;imperfet;subjuntiu;3;singular;visqués
464;viure;imperfet;subjuntiu;1;plural;visquéssim
465;viure;imperfet;subjuntiu;2;plural;visquéssiu
466;viure;imperfet;subjuntiu;3;plural;visquessin
467;viure;futur;indicatiu;1;singular;viuré
468;viure;futur;indicatiu;2;singular;viuràs
469;viure;futur;indicatiu;3;singular;viurà
470;viure;futur;indicatiu;1;plural;viurem
471;viure;futur;indicatiu;2;plural;viureu
472;viure;futur;indicatiu;3;plural;viuran
473;viure;condicional;indicatiu;1;singular;viuria
